imageName X Y Z Omega Phi Kappa
Elettra-Carroponte2024-4209_pt.jpg 79.940162 -63.453604 5.650259 -1.649279 -1.064470 -130.419946
Elettra-Carroponte2024-4210_pt.jpg 80.405362 -62.958182 5.646059 -1.531020 -1.134076 -129.588697
Elettra-Carroponte2024-4211_pt.jpg 80.875226 -62.445389 5.645089 -1.508365 -1.149187 -128.730737
Elettra-Carroponte2024-4212_pt.jpg 81.337543 -61.924062 5.644849 -1.560969 -1.166214 -127.933772
Elettra-Carroponte2024-4213_pt.jpg 81.786295 -61.407465 5.645051 -1.549134 -1.195961 -127.137672
Elettra-Carroponte2024-4214_pt.jpg 82.231166 -60.880076 5.646418 -1.459037 -1.301792 -126.343694
Elettra-Carroponte2024-4215_pt.jpg 82.669152 -60.346830 5.649699 -1.337964 -1.430207 -125.558310
Elettra-Carroponte2024-4216_pt.jpg 83.089412 -59.821475 5.652990 -1.267970 -1.489845 -124.793778
Elettra-Carroponte2024-4217_pt.jpg 83.503968 -59.286877 5.655930 -1.158269 -1.575744 -124.022371
Elettra-Carroponte2024-4218_pt.jpg 83.912291 -58.746960 5.658835 -1.259238 -1.578767 -123.325919
Elettra-Carroponte2024-4219_pt.jpg 84.311347 -58.204013 5.655347 -1.158838 -1.597579 -122.559471
Elettra-Carroponte2024-4220_pt.jpg 84.703939 -57.653457 5.650756 -1.363662 -1.440822 -121.770578
Elettra-Carroponte2024-4221_pt.jpg 85.091399 -57.096853 5.644000 -1.464176 -1.392769 -121.037396
Elettra-Carroponte2024-4222_pt.jpg 85.469765 -56.535093 5.641072 -1.493878 -1.403613 -120.251698
Elettra-Carroponte2024-4223_pt.jpg 85.845988 -55.954110 5.638663 -1.459583 -1.405301 -119.421331
Elettra-Carroponte2024-4224_pt.jpg 86.233863 -55.346699 5.637402 -1.449457 -1.417401 -118.617718
Elettra-Carroponte2024-4225_pt.jpg 86.609638 -54.733632 5.638830 -1.371683 -1.459369 -117.744189
Elettra-Carroponte2024-4227_pt.jpg 87.364861 -53.480509 5.621373 -1.180762 -1.210422 -116.190715
Elettra-Carroponte2024-4229_pt.jpg 87.638102 -52.994678 5.623726 -0.872919 -1.339139 -115.525855
Elettra-Carroponte2024-4230_pt.jpg 87.857590 -52.593017 5.626149 -0.916690 -1.412498 -115.022600
Elettra-Carroponte2024-4231_pt.jpg 88.109352 -52.120547 5.629145 -0.960948 -1.442975 -114.429953
Elettra-Carroponte2024-4232_pt.jpg 88.377351 -51.605158 5.629889 -0.823542 -1.466454 -113.725792
Elettra-Carroponte2024-4233_pt.jpg 88.644023 -51.081505 5.627886 -0.727574 -1.554122 -113.097089
Elettra-Carroponte2024-4234_pt.jpg 88.903798 -50.552024 5.623988 -0.775087 -1.476437 -112.368845
Elettra-Carroponte2024-4235_pt.jpg 89.158453 -50.019234 5.619072 -0.948179 -1.386622 -111.714307
Elettra-Carroponte2024-4236_pt.jpg 89.402606 -49.485443 5.614887 -0.965035 -1.346801 -110.996729
Elettra-Carroponte2024-4237_pt.jpg 89.642672 -48.952206 5.610352 -1.033394 -1.323104 -110.312188
Elettra-Carroponte2024-4238_pt.jpg 89.882559 -48.394784 5.606077 -1.054683 -1.322894 -109.535022
Elettra-Carroponte2024-4239_pt.jpg 90.125183 -47.819941 5.604645 -0.987679 -1.342643 -108.811156
Elettra-Carroponte2024-4240_pt.jpg 90.365731 -47.215597 5.603099 -1.074820 -1.385574 -108.048879
Elettra-Carroponte2024-4241_pt.jpg 90.601661 -46.591716 5.602668 -0.860632 -1.419811 -107.201894
Elettra-Carroponte2024-4242_pt.jpg 90.845055 -45.923986 5.604748 -0.742347 -1.456582 -106.333654
Elettra-Carroponte2024-4243_pt.jpg 91.081015 -45.243563 5.608191 -0.689880 -1.515624 -105.469979
Elettra-Carroponte2024-4244_pt.jpg 91.300678 -44.584066 5.610943 -0.753924 -1.549306 -104.652383
Elettra-Carroponte2024-4245_pt.jpg 91.514710 -43.924596 5.615015 -0.662913 -1.566080 -103.853188
Elettra-Carroponte2024-4246_pt.jpg 91.713169 -43.272980 5.615671 -0.489318 -1.599014 -103.138613
Elettra-Carroponte2024-4247_pt.jpg 91.899982 -42.616298 5.610550 -0.597036 -1.557732 -102.342393
