#Image,X,Y,Z,Omega,Phi,Kappa,SigmaHoriz,SigmaVert
Elettra-Carroponte2024-4355_pt.jpg,61.57835234350365,17.27927086885306,5.6635546727272725,-1.483183,-0.028753,341.9851571288498,2.0,0.5
Elettra-Carroponte2024-4356_pt.jpg,60.84426811919246,17.54736307176306,5.6635546727272725,-1.483183,-0.028753,342.89010232965984,2.0,0.5
Elettra-Carroponte2024-4357_pt.jpg,60.10604711470058,17.803844701067632,5.6635546727272725,-1.483183,-0.028753,343.795041835113,2.0,0.5
Elettra-Carroponte2024-4358_pt.jpg,59.36387295469665,18.048651959673606,5.6635546727272725,-1.483183,-0.028753,344.69997532277705,2.0,0.5
Elettra-Carroponte2024-4359_pt.jpg,58.617930247154916,18.28172395436411,5.6635546727272725,-1.483183,-0.028753,345.60490247174215,1.0,0.3
Elettra-Carroponte2024-4360_pt.jpg,57.86704774752235,18.503391643229243,5.6635546727272725,-1.483183,-0.028753,346.5114572640896,2.0,0.5
Elettra-Carroponte2024-4361_pt.jpg,57.1127567416371,18.713168121848547,5.6635546727272725,-1.483183,-0.028753,347.4180050550175,2.0,0.5
Elettra-Carroponte2024-4362_pt.jpg,56.35524552970773,18.91100102189951,5.6635546727272725,-1.483183,-0.028753,348.3245455269586,2.0,0.5
Elettra-Carroponte2024-4363_pt.jpg,55.594703215830705,19.096840956638758,5.6635546727272725,-1.483183,-0.028753,349.2310783642037,2.0,0.5
Elettra-Carroponte2024-4364_pt.jpg,54.83131966078285,19.2706415332309,5.6635546727272725,-1.483183,-0.028753,350.1376032529811,2.0,0.5
Elettra-Carroponte2024-4365_pt.jpg,54.06528543462459,19.432359364330026,5.6635546727272725,-1.483183,-0.028753,351.04411988153623,2.0,0.5
Elettra-Carroponte2024-4366_pt.jpg,53.296791769126436,19.581954078910755,5.6635546727272725,-1.483183,-0.028753,351.95062794021067,2.0,0.5
Elettra-Carroponte2024-4367_pt.jpg,52.52603051003005,19.719388332346526,5.6635546727272725,-1.483183,-0.028753,352.8571271215202,2.0,0.5
Elettra-Carroponte2024-4368_pt.jpg,51.753194069156194,19.844627815732167,5.6635546727272725,-1.483183,-0.028753,353.76361712023277,2.0,0.5
Elettra-Carroponte2024-4369_pt.jpg,50.97847537637123,19.957641264448796,5.6635546727272725,-1.483183,-0.028753,354.6700976334456,2.0,0.5
Elettra-Carroponte2024-4370_pt.jpg,50.20206783142439,20.058400465968617,5.6635546727272725,-1.483183,-0.028753,355.57656836066167,1.0,0.3
Elettra-Carroponte2024-4371_pt.jpg,49.33202144072565,20.156537032978264,5.6635546727272725,-1.483183,-0.028753,356.59029534240284,2.0,0.5
Elettra-Carroponte2024-4372_pt.jpg,48.460376903032774,20.23928549316046,5.6635546727272725,-1.483183,-0.028753,357.6040092993503,2.0,0.5
Elettra-Carroponte2024-4373_pt.jpg,47.587406359178985,20.30662001117301,5.6635546727272725,-1.483183,-0.028753,358.6177098226018,2.0,0.5
Elettra-Carroponte2024-4374_pt.jpg,46.713382363997056,20.358519564143563,5.6635546727272725,-1.483183,-0.028753,359.6313965075136,2.0,0.5
Elettra-Carroponte2024-4375_pt.jpg,45.838577801223416,20.394967948233337,5.6635546727272725,-1.483183,-0.028753,0.6450689538286838,2.0,0.5
Elettra-Carroponte2024-4376_pt.jpg,44.96326579829974,20.41595378369611,5.6635546727272725,-1.483183,-0.028753,1.6587267658025269,2.0,0.5
Elettra-Carroponte2024-4377_pt.jpg,44.08771964109829,20.421470518431228,5.6635546727272725,-1.483183,-0.028753,2.6723695523277797,2.0,0.5
Elettra-Carroponte2024-4378_pt.jpg,43.21221268859796,20.411516430029252,5.6635546727272725,-1.483183,-0.028753,3.685996927057431,2.0,0.5
Elettra-Carroponte2024-4379_pt.jpg,42.337018287537255,20.3860946263097,5.6635546727272725,-1.483183,-0.028753,4.699608508526296,2.0,0.5
Elettra-Carroponte2024-4380_pt.jpg,41.46240968707138,20.345213044350743,5.6635546727272725,-1.483183,-0.028753,5.713203920270956,1.0,0.3
Elettra-Carroponte2024-4381_pt.jpg,41.143589466821226,20.32645558014977,5.6635546727272725,-1.483183,-0.028753,6.08291584487273,2.0,0.5
Elettra-Carroponte2024-4382_pt.jpg,40.82489676332265,20.30564365951831,5.6635546727272725,-1.483183,-0.028753,6.452625550824507,2.0,0.5
Elettra-Carroponte2024-4383_pt.jpg,40.50634481521908,20.282778146993273,5.6635546727272725,-1.483183,-0.028753,6.822333020370678,2.0,0.5
Elettra-Carroponte2024-4384_pt.jpg,40.187946855306954,20.25785999241871,5.6635546727272725,-1.483183,-0.028753,7.192038235849736,2.0,0.5
Elettra-Carroponte2024-4385_pt.jpg,39.86971610998593,20.230890230906354,5.6635546727272725,-1.483183,-0.028753,7.561741179695076,2.0,0.5
Elettra-Carroponte2024-4386_pt.jpg,39.55166579870952,20.201869982792687,5.6635546727272725,-1.483183,-0.028753,7.931441834435816,2.0,0.5
Elettra-Carroponte2024-4387_pt.jpg,39.233809133435884,20.170800453592342,5.6635546727272725,-1.483183,-0.028753,8.301140182697424,2.0,0.5
Elettra-Carroponte2024-4388_pt.jpg,38.916159318079075,20.137682933948035,5.6635546727272725,-1.483183,-0.028753,8.670836207202541,2.0,0.5
